Height, Width, X, Y, Weight, Density, Too Long, Too Small,,, X, Width
7,6,3258,148,19,0.452380952, False, False,,,3258,6
8,6,1603,1623,18,0.375, False, False,,,1603,6
7,7,1289,1527,18,0.367346939, False, False,,,1289,7
6,5,2149,1307,18,0.6, False, False,,,2149,5
6,6,2341,1299,18,0.5, False, False,,,2341,6
5,5,2143,1215,18,0.72, False, False,,,2143,5
5,6,2243,1147,18,0.6, False, False,,,2243,6
7,5,2225,1134,18,0.514285714, False, False,,,2225,5
8,5,2209,1079,18,0.45, False, False,,,2209,5
7,8,2368,1059,18,0.321428571, False, False,,,2368,8
6,6,2334,1043,18,0.5, False, False,,,2334,6
6,10,2142,1034,18,0.3, False, False,,,2142,10
5,6,2338,993,18,0.6, False, False,,,2338,6
7,7,2254,926,18,0.367346939, False, False,,,2254,7
7,3,1243,914,18,0.857142857, False, False,,,1243,3
5,5,2426,846,18,0.72, False, False,,,2426,5
8,4,1096,837,18,0.5625, False, False,,,1096,4
6,6,879,702,18,0.5, False, False,,,879,6
8,4,3191,372,18,0.5625, False, False,,,3191,4
4,6,3205,204,18,0.75, False, False,,,3205,6
7,3,2290,144,18,0.857142857, False, False,,,2290,3
5,6,1214,1782,17,0.566666667, False, False,,,1214,6
4,7,1172,1761,17,0.607142857, False, False,,,1172,7
9,7,1523,1606,17,0.26984127, False, False,,,1523,7
7,5,1531,1391,17,0.485714286, False, False,,,1531,5
7,4,1300,1329,17,0.607142857, False, False,,,1300,4
6,5,1383,1190,17,0.566666667, False, False,,,1383,5
9,4,1306,1187,17,0.472222222, False, False,,,1306,4
8,3,930,1183,17,0.708333333, False, False,,,930,3
5,5,2374,1122,17,0.68, False, False,,,2374,5
6,5,933,1090,17,0.566666667, False, False,,,933,5
8,3,2530,1015,17,0.708333333, False, False,,,2530,3
8,4,2530,995,17,0.53125, False, False,,,2530,4
8,5,2332,990,17,0.425, False, False,,,2332,5
10,4,2297,946,17,0.425, False, False,,,2297,4
5,6,682,911,17,0.566666667, False, False,,,682,6
6,5,2162,865,17,0.566666667, False, False,,,2162,5
7,5,2337,860,17,0.485714286, False, False,,,2337,5
4,6,3258,627,17,0.708333333, False, False,,,3258,6
8,4,1108,564,17,0.53125, False, False,,,1108,4
6,5,3206,406,17,0.566666667, False, False,,,3206,5
10,4,2264,1708,16,0.4, False, False,,,2264,4
8,4,2437,1637,16,0.5, False, False,,,2437,4
7,5,2301,1308,16,0.457142857, False, False,,,2301,5
6,4,2132,1218,16,0.666666667, False, False,,,2132,4
7,3,1464,1147,16,0.761904762, False, False,,,1464,3
5,6,2382,1138,16,0.533333333, False, False,,,2382,6
6,5,1618,1135,16,0.533333333, False, False,,,1618,5
4,9,2254,1092,16,0.444444444, False, False,,,2254,9
6,4,2138,1082,16,0.666666667, False, False,,,2138,4
9,5,2217,1038,16,0.355555556, False, False,,,2217,5
6,3,1545,1032,16,0.888888889, False, False,,,1545,3
5,5,2382,957,16,0.64, False, False,,,2382,5
5,5,2292,936,16,0.64, False, False,,,2292,5
6,4,870,907,16,0.666666667, False, False,,,870,4
7,4,2181,865,16,0.571428571, False, False,,,2181,4
5,5,2290,851,16,0.64, False, False,,,2290,5
5,5,2427,840,16,0.64, False, False,,,2427,5
7,4,1247,816,16,0.571428571, False, False,,,1247,4
8,3,876,805,16,0.666666667, False, False,,,876,3
8,3,2450,530,16,0.666666667, False, False,,,2450,3
7,3,3220,522,16,0.761904762, False, False,,,3220,3
7,5,3203,391,16,0.457142857, False, False,,,3203,5
8,3,1496,213,16,0.666666667, False, False,,,1496,3
8,3,2290,133,16,0.666666667, False, False,,,2290,3
4,7,727,1708,15,0.535714286, False, False,,,727,7
5,6,651,1506,15,0.5, False, False,,,651,6
5,5,1378,1303,15,0.6, False, False,,,1378,5
7,6,2171,1111,15,0.357142857, False, False,,,2171,6
7,3,1700,1090,15,0.714285714, False, False,,,1700,3
7,5,2205,1067,15,0.428571429, False, False,,,2205,5
8,3,2338,1026,15,0.625, False, False,,,2338,3
7,3,1013,1014,15,0.714285714, False, False,,,1013,3
5,7,2432,973,15,0.428571429, False, False,,,2432,7
6,4,2337,880,15,0.625, False, False,,,2337,4
8,3,1245,874,15,0.625, False, False,,,1245,3
6,4,1321,849,15,0.625, False, False,,,1321,4
8,3,1178,687,15,0.625, False, False,,,1178,3
6,4,1032,601,15,0.625, False, False,,,1032,4
7,3,961,574,15,0.714285714, False, False,,,961,3
6,7,3217,395,15,0.357142857, False, False,,,3217,7
7,3,1724,318,15,0.714285714, False, False,,,1724,3
5,5,3208,260,15,0.6, False, False,,,3208,5
7,3,1928,1678,14,0.666666667, False, False,,,1928,3
4,6,1797,1395,14,0.583333333, False, False,,,1797,6
4,6,2135,1296,14,0.583333333, False, False,,,2135,6
6,4,1460,1238,14,0.583333333, False, False,,,1460,4
4,7,2363,1221,14,0.5, False, False,,,2363,7
7,3,1384,1197,14,0.666666667, False, False,,,1384,3
4,6,2150,1172,14,0.583333333, False, False,,,2150,6
6,4,2228,1126,14,0.583333333, False, False,,,2228,4
8,3,1542,1113,14,0.583333333, False, False,,,1542,3
4,8,1926,1110,14,0.4375, False, False,,,1926,8
8,3,1701,1106,14,0.583333333, False, False,,,1701,3
7,5,2122,1083,14,0.4, False, False,,,2122,5
5,5,1234,1083,14,0.56, False, False,,,1234,5
5,5,2341,1080,14,0.56, False, False,,,2341,5
5,6,2121,989,14,0.466666667, False, False,,,2121,6
4,5,2204,980,14,0.7, False, False,,,2204,5
6,3,2323,972,14,0.777777778, False, False,,,2323,3
7,4,2380,935,14,0.5, False, False,,,2380,4
8,3,1318,932,14,0.583333333, False, False,,,1318,3
5,5,673,919,14,0.56, False, False,,,673,5
6,3,950,795,14,0.777777778, False, False,,,950,3
4,5,876,779,14,0.7, False, False,,,876,5
5,4,1179,641,14,0.7, False, False,,,1179,4
6,4,958,611,14,0.583333333, False, False,,,958,4
6,3,3249,588,14,0.777777778, False, False,,,3249,3
7,3,2372,219,14,0.666666667, False, False,,,2372,3
8,4,3209,196,14,0.4375, False, False,,,3209,4
6,4,2289,156,14,0.583333333, False, False,,,2289,4
7,3,2291,108,14,0.666666667, False, False,,,2291,3
8,3,1765,1665,13,0.541666667, False, False,,,1765,3
6,3,1606,1608,13,0.722222222, False, False,,,1606,3
6,4,629,1487,13,0.541666667, False, False,,,629,4
7,3,1298,1384,13,0.619047619, False, False,,,1298,3
6,4,2528,1353,13,0.541666667, False, False,,,2528,4
5,4,1299,1353,13,0.65, False, False,,,1299,4
8,4,1225,1302,13,0.40625, False, False,,,1225,4
5,4,2291,1280,13,0.65, False, False,,,2291,4
6,6,2028,1237,13,0.361111111, False, False,,,2028,6
4,7,2241,1227,13,0.464285714, False, False,,,2241,7
5,4,1307,1182,13,0.65, False, False,,,1307,4
5,5,2335,1168,13,0.52, False, False,,,2335,5
5,5,2285,1149,13,0.52, False, False,,,2285,5
6,5,2219,1123,13,0.433333333, False, False,,,2219,5
5,5,2392,1085,13,0.52, False, False,,,2392,5
8,3,861,1082,13,0.541666667, False, False,,,861,3
6,4,2313,1067,13,0.541666667, False, False,,,2313,4
5,5,2289,1043,13,0.52, False, False,,,2289,5
5,4,2142,1030,13,0.65, False, False,,,2142,4
8,3,937,1028,13,0.541666667, False, False,,,937,3
7,3,1546,1015,13,0.619047619, False, False,,,1546,3
3,8,2148,1013,13,0.541666667, False, False,,,2148,8
4,5,2247,1012,13,0.65, False, False,,,2247,5
4,6,2411,1008,13,0.541666667, False, False,,,2411,6
6,4,2169,1002,13,0.541666667, False, False,,,2169,4
7,4,866,982,13,0.464285714, False, False,,,866,4
6,4,2326,980,13,0.541666667, False, False,,,2326,4
4,5,2167,980,13,0.65, False, False,,,2167,5
